"","SubID","trial_num","pUP","stock_outcome","Advisor","Advice","AdvisorCorrect","choice","outcome","rt","tally"
"1409",29,29,0.586515471950877,1,2,-1,0,0,-1,2039,17
"1410",29,30,0.555239382270066,-1,3,1,0,1,-1,1723,16
"1411",29,31,0.588823287367024,1,1,1,1,1,1,1653,17
"1412",29,32,0.474365875400164,-1,2,-1,1,1,-1,1602,16
"1413",29,33,0.300573513849994,-1,1,-1,1,0,1,1811,17
"1414",29,34,0.185319255321014,-1,2,-1,1,0,1,1990,18
"1415",29,35,0.201694629968223,-1,3,1,0,0,1,2082,19
"1416",29,36,0.231007811375803,1,2,1,1,1,1,1958,20
"1417",29,37,0.185821976639282,-1,1,-1,1,1,-1,2001,19
"1418",29,38,0.14089019220943,-1,3,1,0,0,1,1828,20
"1419",29,39,0.143969455453935,NA,1,NA,NA,NA,NA,NA,20
"1420",29,40,0.222661287322982,-1,3,1,0,0,1,2765,21
"1421",29,41,0.245798250444678,-1,3,1,0,1,-1,3564,20
"1422",29,42,0.248913231539641,-1,1,-1,1,0,1,2099,21
"1423",29,43,0.260411060520869,1,2,-1,0,0,-1,1702,20
"1424",29,44,0.18146299964546,-1,1,-1,1,0,1,1952,21
"1425",29,45,0.256001557142361,-1,3,1,0,1,-1,3559,20
"1426",29,46,0.324992210378504,1,2,1,1,1,1,2020,21
"1427",29,47,0.36383524134634,1,3,-1,0,1,1,1902,22
"1428",29,48,0.34446994519149,-1,2,-1,1,1,-1,1769,21
"1429",29,49,0.340911471633988,-1,1,-1,1,0,1,1749,22
"1430",29,50,0.380620370000664,-1,2,1,0,0,1,1702,23
"1431",29,51,0.416820690005699,-1,3,-1,1,1,-1,1571,22
"1432",29,52,0.5738387424638,1,1,-1,0,1,1,1792,23
"1433",29,53,0.604517801217266,-1,3,1,0,0,1,1607,24
"1434",29,54,0.612780337133918,1,1,1,1,1,1,1619,25
"1435",29,55,0.720730137316232,1,2,-1,0,1,1,1716,26
"1436",29,56,0.767829818908865,-1,1,-1,1,1,-1,2993,25
"1437",29,57,0.751289743834361,1,3,-1,0,1,1,1891,26
"1438",29,58,0.86033789935432,-1,2,1,0,1,-1,1992,25
"1439",29,59,0.875189477340565,1,3,-1,0,1,1,1906,26
"1440",29,60,0.814186911603989,1,2,-1,0,0,-1,1983,25
"1441",30,1,0.454815259156749,1,3,-1,0,0,-1,2876,9
"1442",30,2,0.425990546242293,-1,1,1,0,1,-1,2032,8
"1443",30,3,0.450168378312521,-1,2,-1,1,1,-1,2051,7
"1444",30,4,0.342575140484685,-1,1,1,0,1,-1,1952,6
"1445",30,5,0.290011935986498,1,3,-1,0,0,-1,2229,5
"1446",30,6,0.371119471087414,1,2,1,1,1,1,1941,6
"1447",30,7,0.497319089579792,-1,3,-1,1,1,-1,2597,5
"1448",30,8,0.478227338360589,1,2,1,1,0,-1,3266,4
"1449",30,9,0.423678727216759,-1,1,-1,1,0,1,2392,5
"1450",30,10,0.282579138012896,-1,2,-1,1,1,-1,1889,4
"1451",30,11,0.306174302791244,-1,3,1,0,0,1,2455,5
"1452",30,12,0.307806288599462,-1,1,-1,1,0,1,1813,6
"1453",30,13,0.18670575824714,-1,3,1,0,1,-1,1885,5
"1454",30,14,0.264036969106179,-1,1,-1,1,0,1,2345,6
"1455",30,15,0.310350375078314,1,2,-1,0,0,-1,2276,5
"1456",30,16,0.278126970420468,-1,1,-1,1,1,-1,2180,4
"1457",30,17,0.308014672753602,-1,3,1,0,1,-1,2081,3
"1458",30,18,0.25421992784465,-1,2,1,0,0,1,2174,4
"1459",30,19,0.205643996343322,-1,3,1,0,1,-1,2218,3
"1460",30,20,0.292931289615353,1,2,-1,0,0,-1,2220,2
"1461",30,21,0.209952581155125,-1,1,-1,1,0,1,1887,3
"1462",30,22,0.20293408910832,-1,2,-1,1,1,-1,2517,2
"1463",30,23,0.320831716860929,1,3,-1,0,0,-1,2313,1
"1464",30,24,0.405455543262638,1,2,-1,0,1,1,2090,2
"1465",30,25,0.477300573353193,1,1,1,1,1,1,1817,3
"1466",30,26,0.532981941714214,NA,3,NA,NA,NA,NA,NA,3
"1467",30,27,0.567790448427255,1,1,1,1,0,-1,2417,2
"1468",30,28,0.415637654166264,1,3,-1,0,0,-1,1782,1
"1469",30,29,0.425697147785805,-1,2,1,0,1,-1,2267,0
"1470",30,30,0.374071281702003,1,3,1,1,1,1,2020,1
"1471",30,31,0.357096540795298,1,1,1,1,1,1,1808,2
"1472",30,32,0.485229197192413,1,2,-1,0,1,1,2817,3
"1473",30,33,0.661256186431798,1,1,-1,0,0,-1,1959,2
"1474",30,34,0.791572368245565,1,2,1,1,0,-1,2528,1
"1475",30,35,0.844494405984234,-1,3,1,0,1,-1,1887,0
"1476",30,36,0.77294943546735,-1,2,1,0,1,-1,2001,-1
"1477",30,37,0.669575886992242,1,1,1,1,1,1,1787,0
"1478",30,38,0.775874281989128,1,3,-1,0,1,1,2264,1
"1479",30,39,0.771991056450145,1,1,1,1,1,1,1809,2
"1480",30,40,0.789653805666773,1,3,-1,0,0,-1,2257,1
"1481",30,41,0.69939186970707,1,2,-1,0,0,-1,1697,0
"1482",30,42,0.651279613860826,-1,3,1,0,1,-1,2027,-1
"1483",30,43,0.597428205367941,1,1,1,1,0,-1,2133,-2
"1484",30,44,0.625474237212357,-1,3,-1,1,1,-1,1704,-3
"1485",30,45,0.64667450501677,-1,2,1,0,1,-1,1674,-4
"1486",30,46,0.641277080890447,1,1,1,1,0,-1,1831,-5
"1487",30,47,0.648289326486257,1,2,-1,0,1,1,2105,-4
"1488",30,48,0.563756312567083,-1,1,-1,1,0,1,2140,-3
"1489",30,49,0.580340791234714,-1,3,1,0,0,1,2067,-2
"1490",30,50,0.716190228496046,1,1,1,1,1,1,2079,-1
