"","SubID","trial_num","pUP","stock_outcome","choice","outcome","rt","tally"
"941",32,5,0.614748168614212,1,0,-1,972,-1
"942",32,6,0.485832026417276,1,0,-1,1316,-2
"943",32,7,0.449194318921057,-1,1,-1,1084,-3
"944",32,8,0.385800602183056,1,0,-1,857,-4
"945",32,9,0.392485094162816,-1,1,-1,967,-5
"946",32,10,0.346393405319733,-1,1,-1,1350,-6
"947",32,11,0.317231751893004,-1,0,1,1389,-5
"948",32,12,0.328109327457547,-1,0,1,1063,-4
"949",32,13,0.30496551310226,-1,1,-1,1025,-5
"950",32,14,0.357392896253078,-1,1,-1,1154,-6
"951",32,15,0.384414416917818,1,1,1,987,-5
"952",32,16,0.360777333109096,-1,1,-1,1157,-6
"953",32,17,0.42755136422664,-1,1,-1,991,-7
"954",32,18,0.359580496388127,-1,1,-1,1204,-8
"955",32,19,0.399378607175575,1,1,1,1064,-7
"956",32,20,0.425586247759691,-1,1,-1,2137,-8
"957",32,21,0.441909651649545,-1,1,-1,1236,-9
"958",32,22,0.562866236398707,1,1,1,1231,-8
"959",32,23,0.68356907593196,1,1,1,1117,-7
"960",32,24,0.713766809229035,-1,0,1,1033,-6
"961",32,25,0.74526982421395,1,0,-1,1632,-7
"962",32,26,0.614798160081609,1,0,-1,1386,-8
"963",32,27,0.643712149333708,-1,1,-1,1212,-9
"964",32,28,0.674309140444552,1,1,1,1123,-8
"965",32,29,0.69231852683406,1,1,1,1074,-7
"966",32,30,0.668157206655895,-1,1,-1,1097,-8
"967",32,31,0.724657808928572,1,0,-1,1013,-9
"968",32,32,0.716851924414259,1,0,-1,1275,-10
"969",32,33,0.782141584239433,1,0,-1,1243,-11
"970",32,34,0.776214451458625,1,0,-1,1319,-12
"971",32,35,0.771907807584978,1,0,-1,1379,-13
"972",32,36,0.867612702220383,1,0,-1,1137,-14
"973",33,1,0.489720208151266,1,1,1,836,1
"974",33,2,0.327085655982552,-1,1,-1,1256,0
"975",33,3,0.323475980362206,1,1,1,816,1
"976",33,4,0.337447332529811,-1,1,-1,436,0
"977",33,5,0.429529686800454,-1,1,-1,283,-1
"978",33,6,0.342476276155425,-1,0,1,403,0
"979",33,7,0.322446974776228,1,0,-1,352,-1
"980",33,8,0.267380154031591,-1,0,1,247,0
"981",33,9,0.205832194248877,-1,0,1,778,1
"982",33,10,0.272989537601598,-1,0,1,378,2
"983",33,11,0.444091768917467,1,0,-1,341,1
"984",33,12,0.485201837139965,1,0,-1,279,0
"985",33,13,0.540656520857558,1,1,1,216,1
"986",33,14,0.546964822666356,-1,1,-1,264,0
"987",33,15,0.51874561311531,1,1,1,93,1
"988",33,16,0.410408769264547,-1,1,-1,473,0
"989",33,17,0.421019294331241,-1,1,-1,186,-1
"990",33,18,0.359335127731222,-1,0,1,110,0
"991",33,19,0.409698231961197,-1,0,1,250,1
"992",33,20,0.401385790198175,-1,0,1,213,2
"993",33,21,0.553301523727757,1,0,-1,288,1
"994",33,22,0.533830764217749,-1,1,-1,10,0
"995",33,23,0.62509015823317,1,1,1,208,1
"996",33,24,0.553877067691908,-1,1,-1,568,0
"997",33,25,0.614841554387008,1,0,-1,483,-1
"998",33,26,0.740431953081856,1,1,1,1138,0
"999",33,27,0.831433675362397,1,1,1,258,1
"1000",33,28,0.852703162704838,1,1,1,217,2
"1001",33,29,0.842286513471975,1,0,-1,347,1
"1002",33,30,0.736930889141132,1,0,-1,544,0
"1003",33,31,0.733300209628526,1,1,1,109,1
"1004",33,32,0.784096985658999,1,1,1,10,2
"1005",33,33,0.761352282286976,1,1,1,6,3
"1006",33,34,0.750249011941909,1,1,1,87,4
"1007",33,35,0.772696672309792,1,1,1,109,5
"1008",33,36,0.734946855172276,1,1,1,43,6
"1009",34,1,0.587364917062223,1,1,1,1609,1
"1010",34,2,0.585582858777905,1,1,1,1055,2
"1011",34,3,0.686771135950892,1,1,1,760,3
"1012",34,4,0.753223272381726,1,1,1,446,4
"1013",34,5,0.726067222909966,-1,1,-1,553,3
"1014",34,6,0.791793918105217,-1,0,1,446,4
"1015",34,7,0.861733864034656,1,0,-1,455,3
"1016",34,8,0.828530354480219,1,1,1,314,4
"1017",34,9,0.72343847084811,1,1,1,638,5
"1018",34,10,0.768372374173879,1,0,-1,329,4
"1019",34,11,0.888290194944342,-1,1,-1,334,3
"1020",34,12,0.82307411720018,-1,1,-1,425,2
"1021",34,13,0.83231617942543,1,0,-1,350,1
"1022",34,14,0.844460127946947,-1,1,-1,536,0
"1023",34,15,0.723807277618263,-1,1,-1,272,-1
"1024",34,16,0.72679333144462,1,0,-1,342,-2
"1025",34,17,0.691124922356841,1,1,1,359,-1
"1026",34,18,0.558114119282856,-1,1,-1,287,-2
"1027",34,19,0.385901012316406,1,1,1,279,-1
"1028",34,20,0.524292489923234,1,1,1,297,0
"1029",34,21,0.538705867453482,-1,1,-1,248,-1
"1030",34,22,0.385995755562146,-1,1,-1,473,-2
"1031",34,23,0.384521622562129,1,1,1,10,-1
"1032",34,24,0.205543323408934,1,1,1,382,0
"1033",34,25,0.12273844475088,-1,1,-1,2270,-1
"1034",34,26,0.102667742634111,-1,1,-1,834,-2
"1035",34,27,0.107355563478041,-1,1,-1,2740,-3
"1036",34,28,0.119217068920935,-1,1,-1,320,-4
"1037",34,29,0.149772475185437,-1,1,-1,542,-5
"1038",34,30,0.139019195888359,-1,1,-1,496,-6
"1039",34,31,0.226789802357517,1,1,1,1455,-5
"1040",34,32,0.129387506835895,NA,NA,NA,NA,NA
"1041",34,33,0.164121521210529,1,1,1,26,-4
"1042",34,34,0.123250169375204,1,1,1,4439,-3
"1043",34,35,0.137331582614893,-1,1,-1,2417,-4
"1044",34,36,0.123775041557051,-1,1,-1,3743,-5
"1045",35,1,0.508411719603615,1,1,1,2068,1
"1046",35,2,0.426457478373603,1,1,1,543,2
"1047",35,3,0.317610099502218,-1,1,-1,655,1
"1048",35,4,0.272659854364599,1,1,1,446,2
"1049",35,5,0.166453592128614,-1,1,-1,496,1
"1050",35,6,0.205581528236791,-1,0,1,416,2
"1051",35,7,0.125571272341031,-1,0,1,399,3
