,SubID,trial_num,pUP,stock_outcome,Advisor,AdvisorCorrect,choice,outcome,rt,tally
163,3,43,0.293098107,1,1,1,1,1,471,10
164,3,44,0.27794983,1,3,0,0,1,1188,11
165,3,45,0.258658416,-1,2,0,1,-1,379,10
166,3,46,0.247900428,-1,1,1,1,1,1299,11
167,3,47,0.356436387,-1,2,1,0,-1,1236,10
168,3,48,0.27817363,-1,1,1,1,1,648,11
169,3,49,0.266466655,-1,3,0,1,-1,1754,10
170,3,50,0.442206931,1,1,1,1,1,1086,11
171,3,51,0.383814393,1,2,1,1,1,877,12
172,3,52,0.457739939,-1,3,1,1,1,1446,13
173,3,53,0.354212432,1,2,1,1,1,817,14
174,3,54,0.211216243,-1,3,1,0,-1,1202,13
175,3,55,0.340855748,1,1,1,1,1,1342,14
176,3,56,0.308592648,-1,3,0,0,1,1062,15
177,3,57,0.334094216,1,2,0,1,-1,1850,14
178,3,58,0.280781879,-1,1,1,1,1,1174,15
179,3,59,0.326678003,1,2,1,1,1,1036,16
180,3,60,0.236569302,-1,1,1,1,1,1265,17
181,4,1,0.44942144,-1,3,0,0,1,1762,17
182,4,2,0.459620386,1,1,1,1,1,1151,18
183,4,3,0.486730269,1,2,1,1,1,980,19
184,4,4,0.656961938,-1,1,1,1,1,968,20
185,4,5,0.732238631,1,3,0,0,1,1652,21
186,4,6,0.764631279,-1,2,0,1,-1,1444,20
187,4,7,0.872166984,-1,3,0,0,1,891,21
188,4,8,0.816173694,-1,2,1,1,1,849,22
189,4,9,0.868649115,1,1,1,1,1,1000,23
190,4,10,0.826936488,1,2,1,1,1,815,24
191,4,11,0.888117246,1,3,0,0,1,699,25
192,4,12,0.885594609,1,1,1,1,1,1432,26
193,4,13,0.851549495,1,3,0,0,1,695,27
194,4,14,0.827864321,1,1,1,1,1,888,28
195,4,15,0.791928538,1,2,0,1,-1,667,27
196,4,16,0.816435649,1,1,1,1,1,943,28
197,4,17,0.696542083,1,3,1,0,-1,899,27
